1,"Смартфоны и телефоны","smartfony-i-telefony","Описание для категории Смартфоны и телефоны"
2,"Телевизоры и мультимедиа","televizory-i-multimedia","Описание для категории Телевизоры и мультимедиа"
3,"Бытовая техника","bytovaya-tehnika","Описание для категории Бытовая техника"
4,"Ноутбуки, ПК и планшеты","noutbuki-pk-i-planshety","Описание для категории Ноутбуки, ПК и планшеты"
5,"Гаджеты и электротранспорт","gadzhety-i-elektrotransport","Описание для категории Гаджеты и электротранспорт"
6,"Спорт и здоровье","sport-i-zdorove","Описание для категории Спорт и здоровье"
7,"Туризм и рыбалка","turizm-i-rybalka","Описание для категории Туризм и рыбалка"
8,"Детские товары","detskie-tovary","Описание для категории Детские товары"
9,"Одежда, обувь и аксессуары","odezhda-obuv-i-aksessuary","Описание для категории Одежда, обувь и аксессуары"
10,"Авто и мототовары","avto-i-mototovary","Описание для категории Авто и мототовары"
